가자,44,140
나라,43,187
가사,75,183
파마,73,197
타아,82,175
아가,79,166
타카,68,163
파파,86,163
나라,42,162
하가,80,197
타가,44,167
하타,52,189
라다,58,154
다타,72,152
하바,79,190
자바,98,166
자사,48,176
아카,58,141
타아,76,140
파아,76,157
나마,49,191
타파,96,176
나타,70,150
사자,74,184
바타,78,174
바타,86,178
카자,74,199
자나,48,186
가나,49,178
카라,72,171
카하,72,192
나가,53,174
라가,69,171
다타,42,143
가파,61,184
가라,60,179
타아,85,142
가가,91,190
타타,86,185
카타,92,143
자라,56,164
라사,67,162
사다,74,140
다하,80,144
바카,95,188
다자,45,191
가마,78,152
나가,82,194
파타,49,182
바사,42,196
마라,96,196
아사,70,140
라마,89,179
라사,56,140
나파,69,191
타나,79,151
다파,51,185
라타,55,170
나가,93,186
가파,71,196
다마,50,192
파라,46,158
하아,81,170
파자,80,164
가다,90,154
가하,57,190
타바,43,170
타타,53,167
나하,77,158
나아,50,163
바나,53,147
나마,98,152
다가,60,187
아하,81,164
사카,78,169
나마,84,170
아사,59,156
가라,88,195
타바,79,149
마자,63,168
사타,53,162
나나,52,140
카하,77,193
자마,92,140
다사,46,175
사타,46,146
마카,56,148
파사,53,140
타카,54,191
나아,65,179
타아,43,198
카바,42,163
마라,72,148
타카,41,171
다마,94,160
자타,52,164
마타,84,141
자타,76,152
마자,69,152
하자,51,166
다아,70,190
사카,53,146
가마,62,158
하타,48,144
하마,51,147
사가,76,178
하카,98,186
자자,97,169
하타,96,169
라자,99,198
아마,53,154
카바,70,157
라파,68,195
바카,98,151
자자,84,147
라파,91,184
가타,93,195
아다,92,198
파자,69,195
나타,87,198
바라,45,149
마카,69,150
파마,60,196
파카,74,148
가파,59,179
다아,64,188
타다,81,165
카다,64,190
타파,70,145
카타,64,187
사라,79,152
자아,59,182
타카,68,158
타타,99,185
타파,82,196
사바,50,146
라사,92,191
타라,67,156
자다,79,188
마라,74,158
아타,57,152
마다,91,157
사타,73,149
타바,55,183
자파,50,176
사나,47,187
아타,47,166
자바,59,172
다다,46,163
다자,44,145
가파,92,150
다가,53,193
아마,53,156
파자,76,167
라아,99,193
하사,44,144
타라,84,159
바라,99,148
바마,75,195
아타,62,141
타마,82,169
사사,73,185
자파,93,152
타타,59,156
타타,70,163
마파,51,172
가마,84,153
가아,60,147
바자,46,150
마바,93,179
아아,76,193
자바,74,168
다타,72,151
마바,96,196
바사,88,181
자타,87,181
다하,83,185
사바,45,187
타마,59,190
가타,82,173
가라,82,176
파아,50,152
자자,93,185
사나,94,167
사타,91,144
자라,52,155
나하,59,154
나자,64,149
카아,81,195
나자,75,194
사타,67,190
다카,97,143
라라,89,198
바가,97,180
사사,77,183
타타,83,175
사바,74,164
아하,51,154
타다,87,193
다마,75,182
바타,84,150
하바,62,146
타사,76,183
아아,72,155
다자,72,159
가하,46,164
바하,74,193
타카,63,189
타카,54,169
아타,83,141
파파,96,149
바파,84,169
타라,85,199
아다,58,149
나타,48,157
하바,67,170
파다,52,149
사타,54,151
하카,66,186
바파,55,198
다하,63,163
라가,49,188
아사,64,197
타가,72,167
나다,43,156
다파,74,166
사라,85,191
다다,50,184
하타,84,195
바바,56,161
바타,68,166
자사,71,143
다타,45,158
타아,92,192
바가,85,189
다자,57,160
나나,51,165
다가,41,152
자마,73,175
자하,55,158
마하,66,161
파마,71,162
사사,56,141
라바,69,148
마사,70,163
가바,77,158
가아,74,191
파라,45,188
사마,72,197
마아,65,183
마라,57,170
파타,79,159
나다,91,147
가사,69,153
타바,67,169
사아,40,191
라바,60,170
사다,98,196
나타,43,184
파마,79,181
타아,77,198
나타,88,140
파가,85,159
하하,50,159
다가,74,147
타카,53,144
바사,45,194
파자,75,199
파사,95,197
바나,81,174
바마,57,157
파타,56,164
카자,40,179
다나,81,199
아나,89,164
다하,99,159
다나,57,191
